Year,Anime_Name,Rank,Score
2010,来来猫 第二季,644,7.7
2010,凉宫春日的消失,18,8.7
2010,只有神知道的世界,1647,7.2
2012,伊克西翁传说DT,1488,7.3
2012,BLOOD-C The Last Dark,6805,6.1
2010,学园催眠奴隶,5985,6.2
2011,×××HOLiC・笼 徒梦,518,7.7
2013,闪电十一人GO 银河,3388,6.6
2010,海绵宝宝 第八季,3033,6.8
2010,文学少女 剧场版,5231,6.4
2010,钢铁侠,7063,5.7
2010,绯色恋,3967,6.6
2011,奈奈与薰的SM日记,7862,5.5
2010,生肖传奇之十二生肖闯江湖,4541,6.2
2011,Suite 光之美少女♪,2815,6.9
2010,棒球大联盟Message,1155,7.6
2010,闪光的夜袭,7681,5.6
2011,月神,1777,7.2
2011,魁拔之十万火急,2260,7.1
2013,公立海老栖川高校天闷部 OAD,5600,6.3
2015,Chaos Dragon 赤龙战役,8850,3.6
2014,悠哉日常大王 OAD,559,7.7
2011,轮奸俱乐部,5848,6.3
2015,HELLO!! 黄金拼图,1335,7.3
2013,剧场版 我们仍未知道那天所看见的花的名字。,2123,7.1
2011,命运石之门,11,8.8
2012,银魂' 延长战,101,8.3
2016,排球少年 乌野高校 VS 白鸟泽学园高校,50,8.5
2013,剧场版 空之境界,624,7.6
2011,羈绊 一击,6474,6.0
2015,偶像大师 灰姑娘女孩,2653,7.0
2015,浦和小调,8097,5.4
2011,gdgd妖精s,1098,7.5
2012,惊爆游戏!,4170,6.6
2014,稻荷恋之歌,4154,6.7
2014,摇摆姐妹 完全版,1873,7.2
2012,黑子的篮球 FAN DISC ～未结束的夏日～,5177,6.3
2015,新妹魔王的契约者 BURST,7471,5.9
2010,我不知道的妻子的面貌,6551,5.9
2012,RE:人造人009,5672,6.3
2015,京剧猫,1852,7.2
2013,眼镜部,8065,5.3
2013,AIURA,1566,7.3
2014,幕末摇滚,7754,5.5
2011,手塚治虫的佛陀～美丽的红色沙漠～,4128,6.6
2015,新妹魔王的契约者,7743,5.8
2011,战场的女武神3 为了谁所受的枪伤,3472,6.7
2014,12岁。,7050,5.8
2015,影鳄,3970,6.7
2013,离线LINE - 上班族 -,2979,6.8
